bc wisc diag,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,1,0.9981,0.9995,1,0.8388,0.9966,0.9995,0.9984,0.9995,0.9948,0.9993
,CI (lower),1,0.995,0.998,1,0.768,0.991,0.998,0.996,0.998,0.985,0.998
,CI (upper),1,1,1,1,0.909,1,1,1,1,1,1
,,,,,,,,,,,,
bc wisc orig,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.9998,0.9998,1,0.9988,0.985,0.998,0.998,1,1,1,1
,CI (lower),0.999,0.999,1,0.997,0.97,0.995,0.995,1,1,1,1
,CI (upper),1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
haberman,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.636,0.6004,0.6099,0.6347,0.6599,0.6764,0.5273,0.6347,0.6756,0.5988,0.6087
,CI (lower),0.481,0.444,0.492,0.48,0.512,0.538,0.377,0.477,0.537,0.441,0.491
,CI (upper),0.791,0.757,0.728,0.789,0.807,0.815,0.678,0.793,0.814,0.756,0.726
,,,,,,,,,,,,
hungary,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.8994,0.8976,0.8163,0.8919,0.8055,0.9023,0.8731,0.8947,0.9154,0.8102,0.8163
,CI (lower),0.815,0.814,0.718,0.802,0.694,0.828,0.786,0.82,0.837,0.708,0.718
,CI (upper),0.984,0.981,0.914,0.982,0.917,0.977,0.961,0.97,0.994,0.913,0.914
,,,,,,,,,,,,
ilpd,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.7892,0.7838,0.7491,0.7748,0.7816,0.7868,0.7815,0.7892,0.7905,0.7534,0.7426
,CI (lower),0.717,0.711,0.678,0.7,0.709,0.715,0.701,0.717,0.719,0.692,0.669
,CI (upper),0.861,0.857,0.821,0.85,0.854,0.859,0.862,0.861,0.862,0.815,0.817
,,,,,,,,,,,,
mammographic,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.8708,0.8688,0.8463,0.8647,0.863,0.8708,0.8495,0.8706,0.8779,0.8516,0.8463
,CI (lower),0.821,0.818,0.794,0.813,0.813,0.821,0.795,0.82,0.83,0.8,0.794
,CI (upper),0.921,0.92,0.899,0.916,0.913,0.921,0.904,0.921,0.926,0.903,0.899
,,,,,,,,,,,,
spect,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.7955,0.8166,0.7419,0.793,0.5682,0.6899,0.776,0.7841,0.875,0.6461,0.7419
,CI (lower),0.655,0.679,0.564,0.637,0.315,0.497,0.63,0.626,0.774,0.414,0.564
,CI (upper),0.936,0.955,0.919,0.949,0.821,0.883,0.922,0.942,0.976,0.879,0.92
,,,,,,,,,,,,
spectF,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.8101,0.7857,0.8157,0.8166,0.8003,0.8263,0.7208,0.8117,0.8263,0.7524,0.810876623
,CI (lower),0.702,0.652,0.704,0.702,0.666,0.715,0.574,0.692,0.718,0.5939,0.696383301
,CI (upper),0.918,0.919,0.928,0.931,0.935,0.938,0.867,0.932,0.934,0.9109,0.925369946
,,,,,,,,,,,,
st-heart,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.9175,0.9158,0.8939,0.9272,0.9465,0.9325,0.9272,0.9298,0.9307,0.8439,0.8939
,CI (lower),0.848,0.849,0.812,0.864,0.897,0.873,0.866,0.867,0.87,0.74,0.812
,CI (upper),0.987,0.982,0.976,0.99,0.996,0.992,0.988,0.992,0.992,0.948,0.976
,,,,,,,,,,,,
vertebral,,,,,,,,,,,,
,Ensemble Model,Avg,wAvg,mVote,rankAvg,stackLR,stackSLR,stackRF,gAvg,bestBase,Ibcc (super),Ibcc (unsuper)
,AUC,0.9504,0.9342,0.9353,0.9504,0.872,0.9564,0.9305,0.9438,0.9586,0.9105,0.9349
,CI (lower),0.903,0.881,0.873,0.904,0.778,0.913,0.872,0.894,0.918,0.838,0.872
,CI (upper),0.998,0.987,0.998,0.997,0.966,1,0.989,0.993,0.999,0.983,0.997
